Unnamed: 0,Author_ID,Dialect,Gender,Tweet,Speaker,Listener,BL,S_Label,L_Label,B_Label
38624,6c2a543e0d53b1562baa7c1af31cad4a,egypt,male,اللهم أكرمنا بقرب لك لا نرتد بعده، وعتق يغشانا برحمة منك ويقينا عذابك. ://./1,B,B,BB,0,0,0
37930,daac851398d688050aeb52ca98cb0cba,egypt,male,- المُثير للدهشة أن تكون فلسفتك حزينة ووجهّك بشُوش ، وتحب الصَباح ولا يفوتك السهر، قلبك يغلي وأفعالُك باردة ! ://./4,B,B,BB,0,0,0
4603,ae2ab6134aef1d85dd30ff21735b466b,egypt,female,يجبلى 7 😅 ://./14,B,B,BB,0,0,0
6242,346b4b0c35c9107a57340b7bca0085d2,egypt,female,"""تَشَجَّعِي يَا بُنَيَّةُ، وَرَبُّ السَّمَاءِ يُؤْتِيكِ فَرَحًا بَدَلَ الْغَمِّ الَّذِي قَاسَيْتِهِ.""",B,F,BF,0,2,2
2164,d4af3119d43e6479c8945ef208097fe3,egypt,female,﷽ ﴿ قُلْ هُوَ اللَّهُ أَحَدٌ ۝ اللَّهُ الصَّمَدُ ۝ لَمْ يَلِدْ وَلَمْ يُولَدْ ۝ وَلَمْ يَكُنْ لَهُ كُفُوًا أَحَدٌ ﴾ ://./03,B,B,BB,0,0,0
2381,9cc510ee18ba02efba52a09239e8974d,egypt,female,اللهم احفظني من بين يديَّ ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي ://./37,B,M,BM,0,1,1
5528,a85e10c344bb7a6376b2f17ab9a86108,egypt,female,اللهم إني أسألك علماً نافعاً ورزقاً طيباً وعملاً متقبلاً ://./788,B,B,BB,0,0,0
6981,3607630aa830b7c03aa991a27955e620,egypt,female,حبيبى سكر مُرّ ❤✋ ://./89,B,B,BB,0,0,0
9226,798b2055517014c8d66a08d9980495f4,egypt,female,مش مجرد تليفون دى كمان كان فيها أحمد موسى وبكرى وعايزينا نكسب شكرا لحسن تعاونكم على الفريق,B,B,BB,0,0,0
650,2b28daf09989e2f54304f71d30168f2d,egypt,female,أشتاق إليك شوق الزهر لهمس الندى.. اشتاق إليك ويقتلني الحنين.. قصيدة #اشتياق #منى_كمال ://./9,B,M,BM,0,1,1
