Tweet,S_Label,L_Label,B_Label
اللهم أكرمنا بقرب لك لا نرتد بعده، وعتق يغشانا برحمة منك ويقينا عذابك. ://./1,0,0,0
- المُثير للدهشة أن تكون فلسفتك حزينة ووجهّك بشُوش ، وتحب الصَباح ولا يفوتك السهر، قلبك يغلي وأفعالُك باردة ! ://./4,0,0,0
يجبلى 7 😅 ://./14,0,0,0
"""تَشَجَّعِي يَا بُنَيَّةُ، وَرَبُّ السَّمَاءِ يُؤْتِيكِ فَرَحًا بَدَلَ الْغَمِّ الَّذِي قَاسَيْتِهِ.""",0,2,2
﷽ ﴿ قُلْ هُوَ اللَّهُ أَحَدٌ ۝ اللَّهُ الصَّمَدُ ۝ لَمْ يَلِدْ وَلَمْ يُولَدْ ۝ وَلَمْ يَكُنْ لَهُ كُفُوًا أَحَدٌ ﴾ ://./03,0,0,0
اللهم احفظني من بين يديَّ ومن خلفي وعن يميني وعن شمالي ومن فوقي وأعوذ بعظمتك أن أغتال من تحتي ://./37,0,1,1
اللهم إني أسألك علماً نافعاً ورزقاً طيباً وعملاً متقبلاً ://./788,0,0,0
حبيبى سكر مُرّ ❤✋ ://./89,0,0,0
مش مجرد تليفون دى كمان كان فيها أحمد موسى وبكرى وعايزينا نكسب شكرا لحسن تعاونكم على الفريق,0,0,0
أشتاق إليك شوق الزهر لهمس الندى.. اشتاق إليك ويقتلني الحنين.. قصيدة #اشتياق #منى_كمال ://./9,0,1,1
اعلان بيبسى بتاع المنتخب حلو اوى واحمد شيبه عسل والله 😄,0,0,0
لا تبحثي عن أحد هو سيجدك ✋,0,0,0
و بيبيع كل شويه على حسب حجمهم و على حسب الاحسن بالسعر الاغلى بس هو بيشتريهم على بعض,0,0,0
اللهم اغفر لي ولوالدي وللمسلمين والمسلمات الأحياء منهم والأموات ://./7169,0,0,0
"- "" لن يكون هناك شيء يا صاحبي.. لا اليوم ولا غدًا ولا بعــد يوم..
حياتك حاضر طويييييييييييل قاس.. ""

(يوتوبيا).",0,1,1
